"colnames","class"
"medallion","character"
"hack_license","character"
"vendor_id","factor"
"payment_type","factor"
"fare_amount","numeric"
"surcharge","integer"
"mta_tax","numeric"
"tip_amount","integer"
"tolls_amount","integer"
"total_amount","integer"
"rate_code","factor"
"store_and_fwd_flag","factor"
"pickup_datetime","character"
"dropoff_datetime","character"
"passenger_count","integer"
"trip_time_in_secs","integer"
"trip_distance","numeric"
"pickup_longitude","numeric"
"pickup_latitude","numeric"
"dropoff_longitude","numeric"
"dropoff_latitude","numeric"
